feature,importance
sequence_length,0.10980841
kmer_TGT,0.05365966
kmer_CGC,0.04975547
kmer_GGG,0.04650358
kmer_CGG,0.029539863
kmer_CAA,0.022558238
insertion_hotspot_count,0.021691715
kmer_GGC,0.019789133
promoter_elements,0.019202977
kmer_CCC,0.018650748
kmer_CGT,0.01662152
kmer_CCG,0.01646542
kmer_GTC,0.015184184
kmer_TGG,0.014582838
kmer_GAG,0.013926343
kmer_ACT,0.013456454
kmer_TTC,0.011404733
kmer_AGG,0.011346587
kmer_TAG,0.011171943
kmer_GAC,0.011124771
kmer_GAA,0.010967192
kmer_GTG,0.010834682
kmer_AAG,0.010730025
kmer_CGA,0.010708507
c_content,0.010606445
kmer_GTA,0.010563287
kmer_ACA,0.010416658
kmer_CCA,0.01008824
kmer_ATC,0.009879299
kmer_TTT,0.0098575335
kmer_CAG,0.009774783
kmer_ATG,0.009740983
kmer_ACC,0.009627504
kmer_CTT,0.00947139
kmer_AAT,0.009457868
kmer_CAC,0.009307598
kmer_CAT,0.0092707025
kmer_AGT,0.008981443
a_content,0.008867753
kmer_TCC,0.008737777
kmer_TCA,0.008633876
kmer_AGA,0.008488643
kmer_AAA,0.008476695
kmer_TTG,0.0084564295
kmer_CTA,0.008228702
kmer_GGA,0.008215361
kmer_GCC,0.008108021
kmer_TGA,0.008024944
kmer_TCG,0.007895953
kmer_TCT,0.007674508
kmer_GCT,0.007667364
kmer_ATT,0.0076581957
kmer_TAT,0.007642007
kmer_GAT,0.007542566
kmer_ACG,0.0074845194
dna_repair_motifs,0.0074217734
kmer_CTG,0.007323894
kmer_GCG,0.0072448263
kmer_TAA,0.007204008
kmer_GGT,0.0071576457
transition_transversion_ratio,0.0071513043
kmer_AAC,0.006919194
sequence_entropy,0.0069082105
kmer_TAC,0.0068655186
cpg_islands,0.0068454766
kmer_GCA,0.0068049016
kmer_TTA,0.0067865807
kmer_CTC,0.0066683614
kmer_AGC,0.00644113
g_content,0.006384198
gc_content,0.0063215573
tandem_repeat_count,0.006213597
t_content,0.0060250266
kmer_TGC,0.0059969933
at_content,0.00588304
kmer_ATA,0.005879782
kmer_CCT,0.005534983
kmer_GTT,0.0052086273
homopolymer_runs,0.0042773304
tp53_hotspot_count,0.0
tp53_hotspot_present,0.0
her2_amplicon_present,0.0
brca2_exon_count,0.0
substitution_site_count,0.0
brca2_exon_present,0.0
brca2_motif,0.0
brca1_promoter_present,0.0
brca1_promoter_count,0.0
brca1_motif,0.0
deletion_pattern_count,0.0
her2_amplicon_count,0.0
insertion_pattern_count,0.0
longest_repeat_length,0.0
